,index,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
1084,5,2019 Lexus RX 350 350,39687,27937, Front-wheel Drive ,20–28,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,85284,1,1
1085,6,2014 Mercedes-Benz M-Class ML 350 4MATIC,22900,80562, All-wheel Drive ,17–22,E85 Flex Fuel ,7-Speed Automatic,3.5L V6 24V GDI DOHC Flexible Fuel,60008,0,1
1086,7,2015 Toyota Tacoma Base,18999,49562, 4WD ,18,Gasoline ,4-Speed Manual,2.7L I4 16V MPFI DOHC,45036,0,1
1087,8,2014 BMW X6 xDrive35i,28000,64012, All-wheel Drive ,17–24,Gasoline ,8-SPEED A/T,Straight 6 Cylinder Engine,98037,3,3
1088,9,2019 Ford F-150 Lariat,52998,27059, Four-wheel Drive ,19–24,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,21162,3,3
1089,10,2014 Mercedes-Benz E-Class E 350 4MATIC,22970,66418, All-wheel Drive ,21–29,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,07643,0,1
1090,11,2007 Ford Mustang GT Premium,17991,64836, Rear-wheel Drive ,17–25,Gasoline ,5-Speed Manual,4.6L V8 24V MPFI SOHC,98125,0,1
1091,12,2015 Chevrolet Silverado 1500 LT,28697,80068, Four-wheel Drive ,17–22,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,20166,3,3
1092,13,2021 Toyota Tacoma TRD Off Road,43500,22502, Four-wheel Drive ,None,Gasoline ,6-Speed,3.5L V6 24V PDI DOHC,22191,1,1
1093,14,2018 Acura TLX V6 w/Technology Package,29619,54664, Front-wheel Drive ,20–32,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,14445,1,1
1094,15,2015 Chevrolet Corvette Z06 Hardtop,78995,3374, Rear-wheel Drive ,15–22,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV Supercharged,92807,1,1
1095,16,2020 Nissan Rogue S,22047,10526, Front-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC,91401,1,1
1096,17,2017 Ford Escape Titanium,23991,41306, Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,30125,3,3
1097,18,2020 Volvo XC90 Hybrid T8 Inscription 7 Passenger,77968,14080, All-wheel Drive ,None,Hybrid ,8-Speed Automatic,2.0L I4 16V GDI DOHC Hybrid,78209,0,0
1098,19,2019 Ford Edge Titanium,32934,44324, All-wheel Drive ,21–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,53110,3,3
1099,0,2019 Ford Edge Titanium,32934,44324, All-wheel Drive ,21–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,53110,3,3
