,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
351,15,2019 INFINITI QX50 ESSENTIAL,32995,32995, Eclipse Black , Graphite , All-wheel Drive ,24–30,Gasoline ,Automatic CVT,2.0L I4 16V PDI DOHC Turbo
352,16,2016 Dodge Charger SXT,26998,26998, Gray , Black , All-wheel Drive ,18–27,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
353,17,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,67399,67399, Obsidian Black Metallic , – , All-wheel Drive ,17–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
354,18,2020 Honda Civic Sport,25099,25099, Gray , Black , Front-wheel Drive ,29–37,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
355,19,2020 Mercedes-Benz GLC 300 Base,47771,47771, Black , Black , Rear-wheel Drive ,22–29,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
356,0,2020 Ford F-150 Lariat,42897,42897, Iconic Silver Metallic , Black , Rear-wheel Drive ,20–26,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC
357,1,2022 Ford F-250 Platinum,97000,97000, Agate Black Metallic , Black Onyx , Four-wheel Drive ,None,Diesel ,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel
358,2,2019 Ford Expedition Limited,54755,54755, White Platinum , Ebony , Four-wheel Drive ,17–22,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
359,3,2019 Volvo XC60 T6 Inscription,41499,41499, Pine Gray Metallic , Amber , All-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
360,4,2020 Tesla Model Y Long Range,68888,68888, White , Black , All-wheel Drive ,127–114,Electric ,1-Speed Automatic,Electric
361,5,2005 Lexus SC 430 Base,23997,23997, White Gold Crystal , Beige , Rear-wheel Drive ,18–23,Gasoline ,Automatic,8 Cylinder Engine
362,6,2020 GMC Acadia SLE,33200,33200, Summit White , Jet Black , Front-wheel Drive ,19–27,Gasoline ,9-SPEED A/T,V6 Cylinder Engine
363,7,2020 Tesla Model X Long Range,97374,97374, Pearl White Multi , Black , All-wheel Drive ,99–93,Electric ,1-Speed Automatic,Electric
364,8,2021 Audi A6 45 Sport Premium,51999,51999, Mythos Black Metallic , Black , All-wheel Drive ,23–31,Gasoline ,7-Speed Automatic,I4
365,9,2019 Volvo XC60 T6 Inscription,43222,43222, Pine Gray Metallic , Charcoal , All-wheel Drive ,19–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
366,10,2020 Ford F-150 Lariat,49980,49980, Black , Black , Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo
367,11,2014 Audi S7 4.0T Prestige quattro,32990,32990, White , – , All-wheel Drive ,17–27,Gasoline ,7-Speed Automatic with Auto-Shift,4.0L V8 32V GDI DOHC Twin Turbo
368,12,2011 Ford F-150 Lariat,18973,18973, Red , Black , Four-wheel Drive ,14–19,E85 Flex Fuel ,6-Speed Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel
369,13,2019 Maserati Ghibli Base,46480,46480, Black , Cuoio , Rear-wheel Drive ,17–24,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
370,14,2021 Tesla Model Y Long Range,73788,73788, Pearl White Multi , Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
371,15,2016 Honda Accord EX-L,23995,23995, Gray , Black , Front-wheel Drive ,21–32,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI SOHC
372,16,2020 Honda Passport EX-L,38750,38750, Crystal Black Pearl , Black , All-wheel Drive ,19–24,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
373,17,2021 Toyota RAV4 Hybrid XLE Premium,41459,41459, Lunar Rock , – , All-wheel Drive ,41–38,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid
374,18,2019 Lexus RX 350 350,45888,45888, Eminent White Pearl , Black , Front-wheel Drive ,20–28,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
375,19,2021 Chevrolet Trax LT,23988,23988, Shadow Gray Metallic , Jet Black , Front-wheel Drive ,24–32,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo
376,0,2021 Dodge Challenger GT,34490,34490, Smoke Show , – , Rear-wheel Drive ,19–30,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
377,1,2017 Kia Forte LX,14995,14995, Clear White , Gray , Front-wheel Drive ,25–34,Gasoline ,6-Speed Manual,2.0L I4 16V MPFI DOHC
378,2,2003 Lexus GX 470 Base,10900,10900, Gray , Beige , Four-wheel Drive ,15–18,Gasoline Fuel ,A/T,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel
379,3,2019 BMW X5 xDrive40i,55780,55780, Black Sapphire Metallic , Ivory White , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
380,4,2007 Ford F-150 XLT SuperCrew,8995,8995, Blue , Silver , Four-wheel Drive ,15–19,Gasoline ,4-Speed Automatic,5.4L V8 24V MPFI SOHC
381,5,2020 Lincoln Aviator Reserve AWD,60499,60499, Magnetic Gray , – , All-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
382,6,2019 Mercedes-Benz GLS 450 Base 4MATIC,46229,46229, Selenite Gray Metallic , Black , All-wheel Drive ,16–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
383,7,2019 Mercedes-Benz C-Class C 300,31431,31431, Black , Black , Rear-wheel Drive ,23–34,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
384,8,2020 Acura RDX A-Spec,40771,40771, Majestic Black Pearl , Red , All-wheel Drive ,21–26,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
385,9,2015 BMW X5 xDrive50i,27693,27693, Glacier Silver Metallic , Black , All-wheel Drive ,15–22,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
